Year,Season,Area,Production,Crop_yield,crop_type,district,year,T2M_MAX,T2M,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,NDVI,EVI,NDWI
2022,Rabi,101586,431436,4.25,Safflower,Morena,2022.0,24.827749999999995,16.670416666666668,10.126833333333336,62.510000000000005,13.662583333333329,0.3099585835722989,0.3204784102141755,0.0767985316886501
2018,Rabi,120227,439773,3.66,Safflower,Morena,2018.0,28.43186440677966,18.837118644067797,10.771525423728812,2.21,15.95593220338983,0.4425670716042702,-1.2949041736829854,0.1472644144360449
2019,Rabi,145047,705509,4.86,Safflower,Morena,2019.0,25.727166666666665,16.88325,9.951583333333335,21.2,14.663333333333336,0.4497721543458422,0.5524958643616825,0.1034463523564711
2020,Rabi,41206,109484,2.66,Safflower,Neemuch,2020.0,24.23644628099173,16.956033057851243,11.076942148760336,21.680000000000003,14.77330578512396,0.3520225469531545,0.41514800009844,-0.0058227201156292
2021,Rabi,88702,368557,4.16,Safflower,Neemuch,2021.0,28.04591666666668,19.244,12.291666666666666,24.84,15.22958333333334,0.37886830168217,4.511999126074341,0.0628231788134824
2022,Rabi,88493,367688,4.15,Safflower,Neemuch,2022.0,24.7725,17.186333333333337,10.910249999999992,77.02000000000001,14.947583333333338,0.2811967115306489,1.0056827764662732,0.0276004496138985
2020,Rabi,150010,364524,2.43,Safflower,Panna,2020.0,22.801322314049585,15.950661157024792,10.46752066115702,60.61999999999998,14.24090909090909,0.4033810887670479,-0.1153872697762107,-0.0364237456564866
2021,Rabi,137911,388909,2.82,Safflower,Panna,2021.0,27.03383333333334,18.753833333333333,11.720666666666668,27.52,14.93525,0.3635240578158328,-0.8453013106679504,-0.0095911973413971
2022,Rabi,137478,387688,2.82,Safflower,Panna,2022.0,24.47433333333333,16.388166666666667,9.99016666666666,78.97000000000001,14.62883333333333,0.2824854066121339,-0.5555654058013704,0.005082770378724
2018,Rabi,232380,741781,3.19,Safflower,Panna,2018.0,28.83203389830509,19.737796610169497,12.05186440677966,14.81,16.784237288135596,0.3852964984523099,0.2833004784799396,-0.0266376439745604
2019,Rabi,286929,1168662,4.07,Safflower,Panna,2019.0,26.21816666666667,17.48116666666667,10.690583333333334,19.56,15.304499999999994,0.4483538106786834,0.3554709366309191,-0.0031023859708733
2020,Rabi,279981,968454,3.46,Safflower,Raisen,2020.0,24.97123966942149,17.089421487603303,10.754049586776862,26.489999999999995,14.946942148760328,0.4375900826833773,0.3629646314364516,0.055103989477994
2021,Rabi,285040,954599,3.35,Safflower,Raisen,2021.0,28.465916666666672,19.363916666666658,12.068666666666672,29.74000000000001,15.63225,0.3957902467499483,0.7066011840778876,0.0713725837297349
2022,Rabi,288918,967586,3.35,Safflower,Raisen,2022.0,26.00200000000001,17.47066666666667,10.45716666666667,47.1,15.444583333333336,0.295733712295453,-0.1925145242091316,0.0617183894410959
2018,Rabi,229108,807116,3.52,Safflower,Raisen,2018.0,29.774745762711863,20.393389830508465,12.281016949152544,9.8,17.468474576271188,0.4461946099317794,0.3163766101910835,0.0913342808846238
2019,Rabi,336555,962884,2.86,Safflower,Raisen,2019.0,28.32475,18.585666666666665,10.692250000000003,3.96,16.1295,0.4770071622394374,3.0907918271894026,0.089441600162166
2020,Rabi,315181,1020556,3.24,Safflower,Rajgarh,2020.0,25.18049586776859,17.4204132231405,11.115785123966948,26.15,15.036611570247931,0.468428239552904,-0.7022488462594793,0.1353661813707536
2021,Rabi,335541,1132786,3.38,Safflower,Rajgarh,2021.0,28.92241666666665,19.68033333333334,12.33408333333333,69.28,15.674416666666664,0.4168532120383905,0.5978123202944123,0.1457327074612162
2022,Rabi,360618,1217446,3.38,Safflower,Rajgarh,2022.0,26.533000000000005,17.980416666666667,11.042499999999997,40.65999999999999,15.326333333333336,0.3251292947882609,0.2170577262383988,0.1195476068116562
2018,Rabi,153934,468977,3.05,Safflower,Rajgarh,2018.0,29.92084745762712,20.600847457627115,12.8335593220339,5.069999999999999,17.389999999999997,0.5144226583136366,2.5193395488883867,0.1955480279909337
2019,Rabi,227752,824462,3.62,Safflower,Rajgarh,2019.0,28.50250000000001,18.791999999999994,10.94416666666667,6.260000000000001,16.356416666666664,0.4870986783333501,0.3836162565700053,0.1577842286360914
2020,Rabi,214917,1076734,5.01,Safflower,Ratlam,2020.0,26.119669421487608,18.26,12.047438016528924,11.44,15.140330578512398,0.4641337037446643,0.3173055278667766,0.1105371473737206
2021,Rabi,223781,1070792,4.78,Safflower,Ratlam,2021.0,29.062416666666664,20.26683333333333,13.259333333333334,13.859999999999998,15.69433333333334,0.4103292129668213,-0.6343305092984713,0.1131236768802475
2022,Rabi,246133,1153133,4.68,Safflower,Ratlam,2022.0,26.11225,18.14858333333334,11.64075,48.85000000000001,15.306750000000006,0.3157375882114451,1.1291813707207068,0.1015923634907507
2018,Rabi,261238,785462,3.01,Safflower,Ratlam,2018.0,30.494745762711855,21.30932203389831,13.615593220338988,0.01,17.495932203389835,0.4941130665467058,3.3507718243529294,0.1732478194189325
2019,Rabi,334362,1049562,3.14,Safflower,Ratlam,2019.0,28.9045,19.48116666666666,11.789333333333335,2.11,16.401500000000006,0.4530851093649797,0.3155324605056905,0.1235272615040689
2020,Rabi,343212,887203,2.58,Safflower,Rewa,2020.0,22.699586776859505,16.030991735537192,10.542148760330576,66.86,14.091322314049584,0.3895185246870183,0.3492995161310258,0.0076197429637684
2021,Rabi,353260,1010324,2.86,Safflower,Rewa,2021.0,27.702333333333343,19.12983333333333,12.113,18.48,14.89591666666667,0.3470026994900537,1.9572266571975605,0.0145667393052122
2022,Rabi,346656,991436,2.86,Safflower,Rewa,2022.0,25.218666666666657,16.88783333333333,10.494916666666668,38.85000000000001,14.553666666666665,0.2762922168701179,0.1676241866135291,0.0192710916418843
2018,Rabi,301969,755948,2.5,Safflower,Rewa,2018.0,28.8828813559322,19.63016949152542,11.733559322033898,9.83,16.802203389830506,0.3682114232725862,0.2493731683764018,0.006647005980314
2019,Rabi,360758,1200242,3.33,Safflower,Rewa,2019.0,27.27458333333332,18.525666666666663,11.64308333333333,22.39000000000001,15.23883333333333,0.4364809969393503,-20.801161288724973,0.04316295642776
2020,Rabi,320734,853473,2.66,Safflower,Satna,2020.0,22.69586776859504,15.806033057851243,10.338842975206616,69.12999999999997,14.24090909090909,0.4162019985167828,0.2128741088901784,0.032416927646885
2021,Rabi,319360,365466,1.14,Safflower,Satna,2021.0,26.829083333333347,18.614333333333327,11.697666666666668,23.100000000000005,14.93525,0.3686773492091457,-0.5839437723051804,0.0371280482005382
2022,Rabi,325752,882788,2.71,Safflower,Satna,2022.0,24.629416666666653,16.379833333333337,9.984583333333337,69.23,14.62883333333333,0.27889799246145,-0.7692473238135977,0.0288897949763449
2020,Rabi,333486,1099837,3.3,Safflower,Sehore,2020.0,25.721900826446277,17.964049586776863,11.555702479338835,24.24000000000001,15.242314049586778,0.4676082827760296,1.4082271793467676,0.0987882090202885
2021,Rabi,334767,1150929,3.44,Safflower,Sehore,2021.0,28.924999999999997,19.98475000000001,12.695916666666664,17.900000000000002,15.920083333333336,0.4249779043745615,-3.0327450759132097,0.1161959186714301
2022,Rabi,342604,1177873,3.44,Safflower,Sehore,2022.0,26.425999999999995,18.2045,11.308000000000002,35.24,15.602249999999994,0.3242456455045454,0.6560158421853772,0.1011838557239128
2018,Rabi,203008,627616,3.09,Safflower,Sehore,2018.0,30.36915254237288,21.060169491525432,12.95,10.079999999999998,17.51983050847457,0.4920919502377449,-1.3582547215000882,0.1624588289198514
