district,rabi_year,T2M_MAX,T2M,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
Hoshangabad,2019,29.339166666666674,20.36925,13.064083333333334,6.609999999999999,16.44425
Hoshangabad,2020,26.45661157024792,19.02867768595042,13.044214876033063,38.800000000000004,15.134049586776857
Hoshangabad,2021,29.42983333333335,20.906499999999998,14.141333333333337,15.389999999999999,16.166749999999997
Hoshangabad,2022,27.150250000000003,19.21816666666666,12.840499999999999,36.77999999999998,15.545916666666661
Hoshangabad,2023,28.62749999999999,19.87091666666667,13.086333333333334,19.45,16.999083333333328
Hoshangabad,2024,27.5339344262295,20.115409836065574,14.448688524590164,54.64000000000001,13.921967213114748
Sagar,2018,29.31559322033899,20.00338983050847,12.255593220338987,10.29,17.468474576271188
Sagar,2019,27.39166666666667,17.85466666666667,10.438166666666667,6.17,16.1295
Sagar,2020,24.008842975206612,16.434049586776855,10.520909090909095,43.57,14.946942148760328
Sagar,2021,27.90258333333333,18.88791666666665,11.692916666666665,45.55999999999999,15.632249999999999
Sagar,2022,25.036083333333327,16.649000000000004,9.95175,69.99,15.444583333333336
Sagar,2023,25.91258333333333,17.415916666666668,10.875,17.4,16.591666666666665
Sagar,2024,26.703442622950817,18.552295081967216,12.651803278688527,18.94,13.261475409836061
Ratlam,2018,30.494745762711858,21.30932203389831,13.615593220338988,0.01,17.495932203389835
Ratlam,2019,28.904500000000002,19.48116666666666,11.789333333333335,2.11,16.401500000000006
Ratlam,2020,26.119669421487608,18.259999999999998,12.047438016528924,11.44,15.140330578512398
Ratlam,2021,29.062416666666664,20.26683333333333,13.259333333333334,13.859999999999998,15.69433333333334
Ratlam,2022,26.112249999999996,18.14858333333334,11.64075,48.85000000000001,15.306750000000006
Ratlam,2023,28.630999999999986,19.5305,12.365333333333338,5.79,16.746416666666676
Ratlam,2024,27.568524590163936,20.02163934426229,14.023606557377052,45.53999999999999,13.102786885245896
Katni,2018,29.12457627118644,19.831186440677968,12.472203389830504,21.92,17.262203389830503
Katni,2019,27.47091666666667,18.20258333333333,11.203749999999996,36.20000000000001,15.744583333333331
Katni,2020,24.082975206611565,16.482479338842978,10.590247933884301,78.9,14.65487603305785
Katni,2021,27.52825000000001,18.925583333333332,12.216666666666663,29.400000000000002,15.401166666666665
Katni,2022,26.05049999999999,17.273916666666672,10.554166666666664,74.63000000000001,15.003833333333334
Katni,2023,26.374333333333322,17.80841666666667,11.288583333333333,3.06,16.295000000000005
Katni,2024,25.75,18.503606557377054,12.934262295081961,44.32,13.060655737704916
Harda,2018,31.99661016949152,22.83423728813559,14.750169491525424,7.26,17.51983050847457
Harda,2019,30.76891666666667,21.408416666666675,13.501083333333328,6.0,16.59175
Harda,2020,27.518347107438014,20.03661157024793,13.661074380165292,39.89000000000001,15.242314049586778
Harda,2021,30.751833333333344,21.993083333333335,14.742416666666669,20.99,15.920083333333336
Harda,2022,27.93241666666667,20.053249999999995,13.369166666666668,33.47,15.602249999999994
Harda,2023,29.788666666666675,20.74441666666666,13.346749999999998,16.580000000000002,16.94516666666667
Harda,2024,28.499180327868853,20.929508196721308,14.958852459016395,69.25999999999999,13.90737704918033
Jabalpur,2018,29.62440677966102,20.211016949152548,12.595254237288136,28.520000000000003,17.461016949152544
Jabalpur,2019,28.238499999999988,18.71583333333334,11.315833333333336,28.679999999999996,16.005833333333324
Jabalpur,2020,24.676446280991733,17.04867768595042,10.954545454545453,71.87,14.817190082644625
Jabalpur,2021,27.726,19.071666666666665,12.068000000000003,28.790000000000003,15.65933333333333
Jabalpur,2022,26.66241666666667,17.92124999999999,11.051666666666664,73.95,15.261583333333334
Jabalpur,2023,27.01574999999999,18.1485,11.322416666666667,2.3200000000000003,16.552750000000003
Jabalpur,2024,25.92967213114754,18.495737704918024,12.734590163934426,48.99999999999999,13.206065573770488
Tikamgarh,2018,29.0471186440678,19.99830508474576,12.315423728813562,5.3,15.557457627118644
Tikamgarh,2019,26.301750000000013,17.42633333333334,10.493499999999996,12.29,14.229666666666672
Tikamgarh,2020,23.48363636363637,16.488264462809923,10.897603305785134,42.32,12.663884297520669
Tikamgarh,2021,27.828666666666674,19.275250000000007,12.143666666666665,53.20999999999999,13.831333333333335
Tikamgarh,2022,24.699250000000003,16.634999999999994,10.279000000000002,64.90000000000002,13.500166666666663
Tikamgarh,2023,25.008416666666655,17.342000000000006,10.89425,6.31,14.743166666666673
Tikamgarh,2024,26.003770491803284,18.79819672131147,13.195737704918033,25.490000000000002,11.034262295081964
Mandsaur,2018,29.778474576271186,20.562542372881353,12.869322033898309,0.23,17.123389830508476
Mandsaur,2019,28.227250000000016,18.686916666666665,10.889749999999996,5.68,15.983416666666663
Mandsaur,2020,25.143801652892567,17.358099173553715,11.146363636363635,18.379999999999995,14.77330578512396
Mandsaur,2021,29.008749999999985,19.84058333333333,12.569000000000006,26.67,15.22958333333334
Mandsaur,2022,25.948999999999998,17.752,11.065750000000003,46.529999999999994,14.947583333333338
